Start,Model,Size
0,Neįvestas,?
555,Altas,mk
587,Neįvestas,?
700,Volvo 7700A,i
710,Volvo 7700,t
730,Neįvestas,?
740,Volvo 7700A,i
750,Volvo 7700,t
770,Volvo 7700A,i
780,Volvo 7700,t
923,Peugeot,mk
931,Citroen,mk
932,MAN NL CNG,t
950,Solaris III,t
969,Neįvestas,?
970,Castrosua,t
990,Neoplan,i
1000,Neįvestas,?
1101,Škoda 14Tr,t
1139,Škoda 9Tr,t
1400,Škoda 14Tr,t
1600,Škoda 15Tr,i
1605,Škoda 14Tr,t
1650,Neįvestas,?
1651,Škoda 14TrM,t
1674,Solaris II 15,ti
1719,Amber,t
1721,Solaris IV 12,t
1762,Neįvestas,?
1770,Škoda 32TrSOR,t
1861,Neįvestas,?
2101,Škoda 14Tr,t
2139,Neįvestas,?
2400,Škoda 14Tr,t
2600,Škoda 15Tr,i
2605,Škoda 14Tr,t
2650,Neįvestas,?
2651,Škoda 14TrM,t
2674,Solaris II 15,ti
2719,Amber,t
2721,Solaris IV 12,t
2762,Neįvestas,?
2770,Škoda 32TrSOR,t
2861,Neįvestas,?
3006,MAN/2000 m.,i
3015,MAN NG/Oslo,i
3021,Neįvestas,?
3030,MAN NL/Oslo,t
3040,Neįvestas,?
3101,Solaris IV 12,t
3126,Neįvestas,?
4007,MAN/2000 m.,i
4018,MAN NG/Oslo,i
4027,Neįvestas,?
4030,MAN NL/Oslo,t
4035,Neįvestas,?
4101,Solaris IV 12,t
4139,Neįvestas,?
4151,Solaris IV 18,i
4176,MAN NG CNG,i
4199,Neįvestas,?
4501,Solaris IV 12,t
4539,Neįvestas,?
4541,IsuzuNovociti,m
4551,Solaris IV 18,i
4576,MAN NG CNG,i
4603,Neįvestas,?
4611,Karsan,mk
4616,Neįvestas,?
4637,MAN NG/Wien,i
4662,Neįvestas,?
7001,Isuzu Citibus,m
7073,Isuzu 12,t
7074,Isuzu Citibus,m
7075,MAN NL/Oslo,t
7080,Neįvestas,?
8001,Scania LFA,i
8051,Neįvestas,?